dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,840464,81.0,459.0,480.0,457.0,85.0,
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,250874,74.0,356.0,363.0,356.0,92.0,
09X276,LEADERSHIP INSTITUTE,601974,30.0,361.0,353.0,367.0,85.0,3.0
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,593297,38.0,386.0,386.0,376.0,92.0,1.0
09X329,DREAMYARD PREPARATORY SCHOOL,559037,51.0,382.0,365.0,391.0,85.0,4.0
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,289455,54.0,315.0,339.0,297.0,,1.0
09X403,BRONX INTERNATIONAL HIGH SCHOOL,792726,49.0,314.0,312.0,339.0,78.0,4.0
09X404,SCHOOL FOR EXCELLENCE,738581,32.0,363.0,360.0,351.0,85.0,2.0
09X412,BRONX HIGH SCHOOL OF BUSINESS,160081,34.0,356.0,376.0,351.0,85.0,1.0
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,769242,64.0,400.0,419.0,402.0,92.0,4.0
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,270670,35.0,379.0,364.0,379.0,85.0,2.0
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",568598,80.0,404.0,418.0,402.0,,4.0
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,898217,50.0,368.0,384.0,369.0,85.0,3.0
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,906925,114.0,384.0,394.0,388.0,92.0,1.0
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,788221,27.0,353.0,315.0,371.0,85.0,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),718131,113.0,438.0,455.0,440.0,78.0,
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,163342,86.0,373.0,412.0,365.0,,4.0
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,827176,59.0,405.0,,394.0,78.0,
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",652542,79.0,382.0,393.0,382.0,78.0,1.0
